$ 3 4 b c 3 4 b c , 4 b a c d 3 , 0 8
$ 6 5 e d 6 5 e d , 9 f e a 1 0 , 0 8
$ f a 7 2 f a 7 2 , 5 f 3 4 9 1 , 0 8
$ 4 3 c b 4 3 c b , 5 9 3 3 2 9 , 0 8
$ 3 a b 2 3 a b 2 , f 9 e 0 2 3 , 0 8
$ 6 4 e c 6 4 e c , b e 2 f f 5 , 0 8
$ 5 a d 2 5 a d 2 , 3 6 3 7 5 b , 0 8
$ 3 e b 6 3 e b 6 , e 1 4 2 9 d , 0 8
$ c 9 4 1 c 9 4 1 , 2 0 0 b e 2 , 0 8
$ e e 6 6 e e 6 6 , 9 f 8 9 f 8 , 0 8
$ b 4 3 c b 4 3 c , 8 6 e 0 d 2 , 0 8
$ 3 1 b 9 3 1 b 9 , 7 6 d a 9 d , 0 8
$ a 1 2 9 a 1 2 9 , 1 3 3 1 8 3 , 0 8
$ c 8 4 0 c 8 4 0 , d 4 9 e 8 2 , 0 8
$ c a 4 2 c a 4 2 , d 8 a e b c , 0 8
$ 7 6 f e 7 6 f e , 7 1 2 6 2 1 , 0 8
$ 7 3 f b 7 3 f b , a d 3 5 e b , 0 8
$ 6 6 e e 6 6 e e , 5 0 2 8 1 e , 0 8
$ d 2 5 a d 2 5 a , 8 3 d c 8 d , 0 8
$ 8 9 0 1 8 9 0 1 , c 7 e c a 2 , 0 8
$ c d 4 5 c d 4 5 , 0 5 c c 0 4 , 0 8
$ a b 2 3 a b 2 3 , 1 0 8 5 3 e , 0 8
$ 3 4 b c 3 4 b c , 8 2 7 f c 9 , 0 8
$ 6 6 e e 6 6 e e , d 9 f e 4 1 , 0 8
$ a 8 2 0 a 8 2 0 , 2 1 9 2 1 b , 0 8
$ 9 b 1 3 9 b 1 3 , d 2 2 1 6 8 , 0 8
$ f 4 7 c f 4 7 c , 0 7 7 b 8 8 , 0 8
$ e c 6 4 e c 6 4 , 3 2 6 c b 2 , 0 8
$ 3 7 b f 3 7 b f , d 0 d a 3 d , 0 8
$ 1 3 9 b 1 3 9 b , 8 b a 8 3 0 , 0 8
$ e 3 6 b e 3 6 b , 8 8 8 2 e 9 , 0 8
$ c b 4 3 c b 4 3 , 2 2 a c 4 5 , 0 8
$ d 0 5 8 d 0 5 8 , 8 c 0 0 5 c , 0 8
$ 5 c d 4 5 c d 4 , 4 6 d 0 c a , 0 8
$ f 5 7 d f 5 7 d , d f 5 2 7 8 , 0 8
$ 7 8 f 0 7 8 f 0 , 6 6 e 2 f c , 0 8
$ f 0 7 8 f 0 7 8 , 2 c 2 d f 1 , 0 8
$ 1 1 9 9 1 1 9 9 , 1 5 5 8 5 c , 0 8
$ 3 b b 3 3 b b 3 , 6 1 f 1 a b , 0 8
$ 7 9 f 1 7 9 f 1 , a 2 3 5 e e , 0 8
$ 1 3 9 b 1 3 9 b , b c b c 1 3 , 0 8
$ f e 7 6 f e 7 6 , c 3 f 0 c d , 0 8
$ 5 b d 3 5 b d 3 , 2 6 8 e f 3 , 0 8
$ 8 0 0 8 8 0 0 8 , 0 1 d 6 5 7 , 0 8
$ 2 3 a b 2 3 a b , 8 6 2 e 8 b , 0 8
$ 9 e 1 6 9 e 1 6 , d 9 2 4 6 3 , 0 8
$ 4 9 c 1 4 9 c 1 , c f 8 2 0 4 , 0 8
$ b 4 3 c b 4 3 c , e a 5 9 0 7 , 0 8
$ c 7 4 f c 7 4 f , 7 e 5 6 e f , 0 8
$ d d 5 5 d d 5 5 , 9 1 5 1 1 d , 0 8
$ 9 3 1 b 9 3 1 b , 8 9 f 6 e c , 0 8
$ e 4 6 c e 4 6 c , d b a 7 9 8 , 0 8
$ e 6 6 e e 6 6 e , 8 8 9 5 f b , 0 8
$ f 4 7 c f 4 7 c , 5 c 0 e a 6 , 0 8
$ e f 6 7 e f 6 7 , 3 8 5 4 8 3 , 0 8
$ 0 4 8 c 0 4 8 c , b c 2 e 9 6 , 0 8
$ 5 6 d e 5 6 d e , 3 8 2 4 4 a , 0 8
$ c 6 4 e c 6 4 e , 6 2 c e 6 a , 0 8
$ 1 c 9 4 1 c 9 4 , 4 0 e e b 2 , 0 8
$ 9 d 1 5 9 d 1 5 , 7 f d 7 3 5 , 0 8
$ 8 9 0 1 8 9 0 1 , d 5 c 5 9 9 , 0 8
$ 3 8 b 0 3 8 b 0 , 7 b 3 3 7 0 , 0 8
$ 6 5 e d 6 5 e d , 2 0 a 0 e 5 , 0 8
$ a f 2 7 a f 2 7 , 6 a 1 b d e , 0 8
$ 4 b c 3 4 b c 3 , d 0 7 9 e 2 , 0 8
$ e 0 6 8 e 0 6 8 , 3 6 e 7 3 1 , 0 8
$ 6 9 e 1 6 9 e 1 , 3 7 0 9 5 7 , 0 8
$ 4 a c 2 4 a c 2 , c 6 f b 7 7 , 0 8
$ 9 1 1 9 9 1 1 9 , 8 c d 3 c e , 0 8
$ 9 c 1 4 9 c 1 4 , 3 9 5 e f b , 0 8
$ 6 c e 4 6 c e 4 , 1 6 7 1 0 b , 0 8
$ 1 7 9 f 1 7 9 f , e 1 a a 5 c , 0 8
$ e 8 6 0 e 8 6 0 , c 7 4 d 6 2 , 0 8
$ 5 b d 3 5 b d 3 , 0 4 7 c 2 3 , 0 8
$ 3 0 b 8 3 0 b 8 , 0 7 b 3 8 4 , 0 8
$ a 4 2 c a 4 2 c , 1 7 3 3 8 0 , 0 8
$ 2 d a 5 2 d a 5 , 3 2 9 1 8 e , 0 8
$ 3 7 b f 3 7 b f , 6 4 4 0 1 3 , 0 8
$ d 2 5 a d 2 5 a , 0 7 e 9 3 c , 0 8
$ f 0 7 8 f 0 7 8 , b e 3 0 7 e , 0 8
$ d b 5 3 d b 5 3 , e 6 4 0 7 d , 0 8
$ e 3 6 b e 3 6 b , c b 9 1 b 9 , 0 8
$ 7 b f 3 7 b f 3 , b 7 9 c 5 0 , 0 8
$ a f 2 7 a f 2 7 , 3 3 3 4 a 8 , 0 8
$ a 0 2 8 a 0 2 8 , 9 5 4 b 7 e , 0 8
$ 4 2 c a 4 2 c a , 8 e d d 1 1 , 0 8
$ f 6 7 e f 6 7 e , 8 2 b a c e , 0 8
$ 1 b 9 3 1 b 9 3 , 2 c e 8 d f , 0 8
$ 7 4 f c 7 4 f c , d f 0 6 a d , 0 8
$ c a 4 2 c a 4 2 , e c 9 c b a , 0 8
$ 4 c c 4 4 c c 4 , 2 5 8 9 e 0 , 0 8
$ a 2 2 a a 2 2 a , 9 d c 8 f 7 , 0 8
$ 7 f f 7 7 f f 7 , 4 d 7 2 4 0 , 0 8
$ c 3 4 b c 3 4 b , f 0 1 a 2 9 , 0 8
$ 3 b b 3 3 b b 3 , 9 6 a b 0 6 , 0 8
$ c 4 4 c c 4 4 c , 2 2 c 2 2 4 , 0 8
$ 7 1 f 9 7 1 f 9 , 8 b 8 c 7 6 , 0 8
$ c 7 4 f c 7 4 f , 9 a c c 9 1 , 0 8
$ a c 2 4 a c 2 4 , b 4 d 0 c 8 , 0 8
$ 8 b 0 3 8 b 0 3 , 7 f 8 a 7 e , 0 8
$ c 4 4 c c 4 4 c , 0 5 5 5 9 4 , 0 8
$ a 0 2 8 a 0 2 8 , 6 1 e 1 2 0 , 0 8
$ 5 2 d a 5 2 d a , 7 2 5 4 7 4 , 0 8
$ 6 b e 3 6 b e 3 , 2 3 b f f 7 , 0 8
$ 2 4 a c 2 4 a c , 1 0 2 9 1 d , 0 8
$ 4 0 c 8 4 0 c 8 , 8 a c 7 0 d , 0 8
$ 3 d b 5 3 d b 5 , d 8 6 9 8 c , 0 8
$ 9 b 1 3 9 b 1 3 , e 1 8 f f 5 , 0 8
$ 5 a d 2 5 a d 2 , f 8 7 9 d b , 0 8
$ f c 7 4 f c 7 4 , 1 5 8 f 6 6 , 0 8
$ d 3 5 b d 3 5 b , c 7 3 0 2 4 , 0 8
$ 5 d d 5 5 d d 5 , 1 6 f 4 b f , 0 8
$ e 5 6 d e 5 6 d , 6 d c 4 4 c , 0 8
$ 3 f b 7 3 f b 7 , a 5 7 9 e 3 , 0 8
$ f d 7 5 f d 7 5 , 7 4 b b 3 2 , 0 8
$ c 8 4 0 c 8 4 0 , 3 9 d 2 2 3 , 0 8
$ 0 3 8 b 0 3 8 b , 5 f 6 0 3 c , 0 8
$ 2 d a 5 2 d a 5 , 7 a 8 d d a , 0 8
$ a b 2 3 a b 2 3 , f 5 e a b 4 , 0 8
$ b 8 3 0 b 8 3 0 , 2 8 b d 2 d , 0 8
$ 0 8 8 0 0 8 8 0 , 4 e 5 3 1 5 , 0 8
$ c a 4 2 c a 4 2 , 7 e 4 d f 9 , 0 8
$ f 2 7 a f 2 7 a , f 3 c 1 c 0 , 0 8
$ 6 7 e f 6 7 e f , a c 6 d a 6 , 0 8
$ 1 e 9 6 1 e 9 6 , 9 1 0 1 8 e , 0 8
$ f 5 7 d f 5 7 d , 1 1 b 6 5 2 , 0 8
$ 9 5 1 d 9 5 1 d , 4 4 d 7 0 6 , 0 8
$ 1 8 9 0 1 8 9 0 , f c 3 1 d 5 , 0 8
$ 7 0 f 8 7 0 f 8 , 3 1 1 2 5 3 , 0 8
$ a 5 2 d a 5 2 d , d 3 e 3 9 5 , 0 8
$ 9 e 1 6 9 e 1 6 , 5 6 3 2 f a , 0 8
$ 0 9 8 1 0 9 8 1 , 7 7 c 6 b 8 , 0 8
$ 3 2 b a 3 2 b a , 0 b b 7 8 e , 0 8
$ e 5 6 d e 5 6 d , 3 3 5 d 8 b , 0 8
$ 6 f e 7 6 f e 7 , 9 c d d 2 e , 0 8
$ 7 a f 2 7 a f 2 , e 0 0 a 9 0 , 0 8
$ 2 8 a 0 2 8 a 0 , e 1 1 a d 3 , 0 8
$ c 2 4 a c 2 4 a , 0 a b e 7 6 , 0 8
$ c 6 4 e c 6 4 e , 9 9 0 7 5 8 , 0 8
$ 1 9 9 1 1 9 9 1 , 6 f 2 e 5 8 , 0 8
$ 2 b a 3 2 b a 3 , c f 9 9 7 d , 0 8
$ 4 9 c 1 4 9 c 1 , a 5 b 1 5 d , 0 8
$ 3 6 b e 3 6 b e , c e 7 5 8 d , 0 8
$ 4 5 c d 4 5 c d , 3 6 f 5 8 6 , 0 8
$ 4 2 c a 4 2 c a , 5 2 8 f 9 f , 0 8
$ 5 6 d e 5 6 d e , 6 3 6 5 5 0 , 0 8
$ 3 8 b 0 3 8 b 0 , e 5 1 0 c d , 0 8
$ 6 8 e 0 6 8 e 0 , 5 e 4 5 7 3 , 0 8
$ 8 0 0 8 8 0 0 8 , b 5 0 c 3 9 , 0 8
$ e 2 6 a e 2 6 a , 0 a 8 e 6 6 , 0 8
$ 8 6 0 e 8 6 0 e , e 9 c f a 0 , 0 8
$ 7 1 f 9 7 1 f 9 , 6 e 1 0 0 f , 0 8
$ e 6 6 e e 6 6 e , 4 8 f 8 5 6 , 0 8
$ 4 9 c 1 4 9 c 1 , 9 e e 7 3 0 , 0 8
$ 4 9 c 1 4 9 c 1 , b d a 1 5 5 , 0 8
$ 6 e e 6 6 e e 6 , d 2 6 d d 1 , 0 8
$ 2 4 a c 2 4 a c , 4 8 4 1 2 d , 0 8
$ 9 1 1 9 9 1 1 9 , d e a a e 5 , 0 8
$ d 9 5 1 d 9 5 1 , d 6 f 8 f 7 , 0 8
$ a 2 2 a a 2 2 a , b 4 9 6 8 0 , 0 8
$ f e 7 6 f e 7 6 , 4 7 2 2 9 b , 0 8
$ 1 3 9 b 1 3 9 b , 4 b 3 2 6 a , 0 8
$ d f 5 7 d f 5 7 , 2 e b 3 4 2 , 0 8
$ e 6 6 e e 6 6 e , 6 a 2 6 a a , 0 8
$ e c 6 4 e c 6 4 , 5 d 8 0 3 1 , 0 8
$ 4 b c 3 4 b c 3 , b e b e 4 b , 0 8
$ b 3 3 b b 3 3 b , 8 c 3 f 0 0 , 0 8
$ 0 1 8 9 0 1 8 9 , 1 2 6 e 7 d , 0 8
$ 4 8 c 0 4 8 c 0 , 6 c 2 4 0 0 , 0 8
$ d d 5 5 d d 5 5 , 8 3 c e 9 0 , 0 8
$ 8 d 0 5 8 d 0 5 , 7 5 3 b c 3 , 0 8
$ 1 a 9 2 1 a 9 2 , 4 c 1 d 4 b , 0 8
$ 6 f e 7 6 f e 7 , 2 3 4 1 0 d , 0 8
$ a 5 2 d a 5 2 d , b 6 8 6 9 5 , 0 8
$ 9 e 1 6 9 e 1 6 , c a b a e e , 0 8
$ 5 7 d f 5 7 d f , 3 0 c 8 a f , 0 8
$ 6 6 e e 6 6 e e , 6 4 8 6 8 4 , 0 8
$ 2 c a 4 2 c a 4 , 8 2 7 a d 4 , 0 8
$ 8 c 0 4 8 c 0 4 , 6 b 1 b f c , 0 8
$ 4 4 c c 4 4 c c , 3 c e d 9 5 , 0 8
$ 0 9 8 1 0 9 8 1 , d 1 1 b c 3 , 0 8
$ 0 5 8 d 0 5 8 d , 3 2 f d c a , 0 8
$ d 7 5 f d 7 5 f , 7 8 e 3 4 c , 0 8
$ b 8 3 0 b 8 3 0 , 9 0 d 7 f f , 0 8
$ 6 c e 4 6 c e 4 , 6 4 a 8 a 0 , 0 8
$ 5 2 d a 5 2 d a , 7 f 3 f 1 2 , 0 8
$ 3 0 b 8 3 0 b 8 , c 1 b 2 4 3 , 0 8
$ 3 6 b e 3 6 b e , 0 b 1 1 2 c , 0 8
$ 8 c 0 4 8 c 0 4 , d d f 7 a 6 , 0 8
$ 7 8 f 0 7 8 f 0 , 3 a a 4 e 6 , 0 8
$ 0 e 8 6 0 e 8 6 , a 1 6 5 c a , 0 8
$ a 1 2 9 a 1 2 9 , 4 5 c 9 2 d , 0 8
$ c b 4 3 c b 4 3 , c e c 0 c 5 , 0 8
$ 1 2 9 a 1 2 9 a , 0 f 3 2 2 f , 0 8
$ 1 e 9 6 1 e 9 6 , 3 b 8 b a e , 0 8
$ 5 6 d e 5 6 d e , 9 a c 7 0 b , 0 8
$ 6 e e 6 6 e e 6 , f 2 1 9 8 5 , 0 8
$ b 8 3 0 b 8 3 0 , 5 4 c 6 2 a , 0 8
$ 5 8 d 0 5 8 d 0 , 0 1 2 a 7 3 , 0 8
$ 0 8 8 0 0 8 8 0 , 7 a 7 7 0 5 , 0 8
$ 7 a f 2 7 a f 2 , 4 8 6 3 5 1 , 0 8
$ 8 0 0 8 8 0 0 8 , 6 b 3 d d 6 , 0 8
$ 4 9 c 1 4 9 c 1 , e b c 4 6 6 , 0 8
$ c 3 4 b c 3 4 b , 7 b 3 1 8 9 , 0 8
